name
Flour tortillas
Refried beans
Restaurant Style Salsa
Creamy Queso Sauce
Black Beans
Rotel Diced Tomatoes and Green chiles
Fully cooked steak fajitas fire-grilled beef strips with Authentic Fajita Seasoning
Ground Chuck
Garlic
Andouille Sausage
Bacon
Eggs
Flour
Rice
Minute Yellow Rice
Dry Pigeon Peas
Oatmeal
Sugar
Garlic Salt
Onion Powder
Orange
Mayonnaise
Honey wheat bread
Tajin
Grape Jelly
Peanut Butter
Bologna
Bananas
Cheez-its
